,pt_BR,en
CASCO REGENERATIVO,CASCO REGENERATIVO,REGENERATIVE HULL
"Após 5 s sem sofrer dano, recupera 1,25 de vida por segundo por nível.","Após 5 s sem sofrer dano, recupera 1,25 de vida por segundo por nível.","After 5 seconds without taking damage, restores 1.25 health per second per level."
PASSIVO • CASCO,PASSIVO • CASCO,PASSIVE • HULL
PRECISÃO CRÍTICA,PRECISÃO CRÍTICA,CRITICAL PRECISION
+4 pontos percentuais de chance crítica por nível. Base depende da arma.,+4 pontos percentuais de chance crítica por nível. Base depende da arma.,+4 percentage points of critical chance per level. Base chance depends on the weapon.
COMBATE • CRÍTICO,COMBATE • CRÍTICO,COMBAT • CRITICAL
IMPACTO CRÍTICO,IMPACTO CRÍTICO,CRITICAL IMPACT
+15 pontos percentuais de dano nos acertos críticos por nível.,+15 pontos percentuais de dano nos acertos críticos por nível.,+15 percentage points of critical-hit damage per level.
REAÇÃO ADRENAL,REAÇÃO ADRENAL,ADRENAL REACTION
"Ao sofrer dano, ganha +12% de cadência por nível durante 2,4 segundos.","Ao sofrer dano, ganha +12% de cadência por nível durante 2,4 segundos.","After taking damage, gain +12% fire rate per level for 2.4 seconds."
PASSIVO • DEFESA,PASSIVO • DEFESA,PASSIVE • DEFENSE
FLUXO DA HABILIDADE,FLUXO DA HABILIDADE,ABILITY FLOW
"A habilidade recarrega mais rápido, com bônus menor a cada nível.","A habilidade recarrega mais rápido, com bônus menor a cada nível.","The ability recharges faster, with a smaller bonus at each level."
HABILIDADE,HABILIDADE,ABILITY
RESSONÂNCIA ARMADA,RESSONÂNCIA ARMADA,ARMED RESONANCE
Usar a habilidade sobrecarrega a arma: +25% de dano e cadência temporariamente.,Usar a habilidade sobrecarrega a arma: +25% de dano e cadência temporariamente.,"Using the ability overcharges the weapon, temporarily granting +25% damage and fire rate."
HABILIDADE + ARMA,HABILIDADE + ARMA,ABILITY + WEAPON
CONVERSOR DE IMPACTO,CONVERSOR DE IMPACTO,IMPACT CONVERTER
"Acertos reduzem a recarga em até 0,06 s no total; níveis posteriores rendem menos.","Acertos reduzem a recarga em até 0,06 s no total; níveis posteriores rendem menos.",Hits reduce cooldown by up to 0.06 s total; later levels yield less.
HABILIDADE + PROJÉTIL,HABILIDADE + PROJÉTIL,ABILITY + PROJECTILE
NOVA DE ATIVAÇÃO,NOVA DE ATIVAÇÃO,ACTIVATION NOVA
"Ao usar a habilidade, dispara uma explosão circular de projéteis.","Ao usar a habilidade, dispara uma explosão circular de projéteis.",Using the ability fires a circular burst of projectiles.
ESCUDO DE FASE,ESCUDO DE FASE,PHASE SHIELD
"Usar a habilidade concede 0,35 s de invulnerabilidade por nível.","Usar a habilidade concede 0,35 s de invulnerabilidade por nível.",Using the ability grants 0.35 s of invulnerability per level.
HABILIDADE + CASCO,HABILIDADE + CASCO,ABILITY + HULL
TEMPESTADE PRISMÁTICA,TEMPESTADE PRISMÁTICA,PRISMATIC STORM
"SUPERMOD: +1 projétil e +10% de cadência, mas -15% de velocidade dos projéteis.","SUPERMOD: +1 projétil e +10% de cadência, mas -15% de velocidade dos projéteis.","SUPERMOD: +1 projectile and +10% fire rate, but -15% projectile speed."
SUPERMOD,SUPERMOD,SUPERMOD
COLAPSO DE SINGULARIDADE,COLAPSO DE SINGULARIDADE,SINGULARITY COLLAPSE
"SUPERMOD DE IMPACTO: projétil colossal e perfurante ganha atração própria, mas perde 25% de velocidade.","SUPERMOD DE IMPACTO: projétil colossal e perfurante ganha atração própria, mas perde 25% de velocidade.",IMPACT SUPERMOD: a colossal piercing projectile gains its own pull but loses 25% speed.
REATOR SINCRONIZADO,REATOR SINCRONIZADO,SYNCHRONIZED REACTOR
"SUPERMOD: a Nova dispara mais projéteis e o overdrive dura o dobro, mas a habilidade recarrega 15% mais devagar.","SUPERMOD: a Nova dispara mais projéteis e o overdrive dura o dobro, mas a habilidade recarrega 15% mais devagar.","SUPERMOD: the Nova fires more projectiles and overdrive lasts twice as long, but the ability recharges 15% slower."
PÉTALAS EXTRAS,PÉTALAS EXTRAS,EXTRA PETALS
+2 pétalas por disparo. O leque continua curto e cada pétala mantém seu dano.,+2 pétalas por disparo. O leque continua curto e cada pétala mantém seu dano.,+2 petals per shot. The fan remains short and each petal keeps its damage.
FLORAÇÃO CONCENTRADA,FLORAÇÃO CONCENTRADA,CONCENTRATED BLOOM
Fecha o cone e aumenta o dano próximo. A distância máxima não aumenta.,Fecha o cone e aumenta o dano próximo. A distância máxima não aumenta.,Narrows the cone and increases close-range damage. Maximum range does not increase.
CONSTELAÇÃO DE FOGOS,CONSTELAÇÃO DE FOGOS,FIREWORK CONSTELLATION
"+1 foguete por salva, lançado por um novo ângulo ao redor do alvo.","+1 foguete por salva, lançado por um novo ângulo ao redor do alvo.","+1 rocket per volley, launched from a new angle around the target."
VIRADA LUMINOSA,VIRADA LUMINOSA,LUMINOUS TURN
Amplia a explosão e o dano em área de cada fogo do recomeço.,Amplia a explosão e o dano em área de cada fogo do recomeço.,Increases the explosion and area damage of each renewal firework.
CORRENTEZA CRESCENTE,CORRENTEZA CRESCENTE,RISING CURRENT
"A carga completa chega 20% mais rápido por nível, sem reduzir o impacto final.","A carga completa chega 20% mais rápido por nível, sem reduzir o impacto final.",Full charge is reached 20% faster per level without reducing final impact.
MIGRAÇÃO PROFUNDA,MIGRAÇÃO PROFUNDA,DEEP MIGRATION
+1 perfuração e mais dano para o disparo completamente carregado.,+1 perfuração e mais dano para o disparo completamente carregado.,+1 pierce and more damage for a fully charged shot.
CONTAGEM PREVENTIVA,CONTAGEM PREVENTIVA,SAFETY COUNTDOWN
O sinalizador detona 1 segundo antes por nível. O tempo mínimo é 2 segundos.,O sinalizador detona 1 segundo antes por nível. O tempo mínimo é 2 segundos.,The flare detonates 1 second earlier per level. Minimum time is 2 seconds.
SENSOR DE PROXIMIDADE,SENSOR DE PROXIMIDADE,PROXIMITY SENSOR
DETONADOR RARO: troca o temporizador por uma zona que reage a ameaças próximas.,DETONADOR RARO: troca o temporizador por uma zona que reage a ameaças próximas.,RARE DETONATOR: replaces the timer with a zone that reacts to nearby threats.
COMANDO DE SEGURANÇA,COMANDO DE SEGURANÇA,SAFETY COMMAND
DETONADOR RARO: o próximo disparo explode todas as minas armadas; o seguinte instala outra.,DETONADOR RARO: o próximo disparo explode todas as minas armadas; o seguinte instala outra.,RARE DETONATOR: the next shot explodes every armed mine; the following one deploys another.
JANELA DO PERIÉLIO,JANELA DO PERIÉLIO,PERIHELION WINDOW
"+2,5 segundos de uso contínuo por nível e reduz o bloqueio após uma sobrecarga.","+2,5 segundos de uso contínuo por nível e reduz o bloqueio após uma sobrecarga.",+2.5 seconds of continuous use per level and shorter lockout after overheating.
CONVERGÊNCIA SOLAR,CONVERGÊNCIA SOLAR,SOLAR CONVERGENCE
A curva exponencial alcança o dano máximo 28% mais rápido por nível.,A curva exponencial alcança o dano máximo 28% mais rápido por nível.,The exponential curve reaches maximum damage 28% faster per level.
NÚCLEO HIPERQUENTE,NÚCLEO HIPERQUENTE,SUPERHEATED CORE
"Eleva o teto do feixe para 10, 20 e 30 DPS, mantendo o início em 0,2 DPS.","Eleva o teto do feixe para 10, 20 e 30 DPS, mantendo o início em 0,2 DPS.","Raises the beam cap to 10, 20, and 30 DPS while keeping its starting value at 0.2 DPS."
SOL SEM OCASO,SOL SEM OCASO,SUN WITHOUT SUNSET
"ULTRARRARA: remove a sobrecarga. Após o limite, o feixe fica vermelho e devolve 1% do próprio DPS ao casco por segundo.","ULTRARRARA: remove a sobrecarga. Após o limite, o feixe fica vermelho e devolve 1% do próprio DPS ao casco por segundo.","ULTRA RARE: removes overheating. Beyond the limit, the beam turns red and deals 1% of its own DPS to the hull each second."
ULTRARRARA,ULTRARRARA,ULTRA RARE
CEIFA EM DUPLA,CEIFA EM DUPLA,DOUBLE REAP
"+1 arco de colheita por disparo, abrindo trajetórias laterais de ida e volta.","+1 arco de colheita por disparo, abrindo trajetórias laterais de ida e volta.","+1 harvest arc per shot, creating side paths on both the outward and return trips."
COLHEITA COMPLETA,COLHEITA COMPLETA,FULL HARVEST
"Aumenta o dano, a velocidade de retorno e a capacidade de atravessar inimigos.","Aumenta o dano, a velocidade de retorno e a capacidade de atravessar inimigos.","Increases damage, return speed, and the ability to pierce enemies."
RAÍZES GÊMEAS,RAÍZES GÊMEAS,TWIN ROOTS
"+1 raiz subterrânea, emergindo por uma trajetória lateral diferente.","+1 raiz subterrânea, emergindo por uma trajetória lateral diferente.",+1 underground root emerging along a different side path.
SOLO RENOVADO,SOLO RENOVADO,RENEWED SOIL
Aumenta o raio e o dano da erupção quando a raiz deixa o solo.,Aumenta o raio e o dano da erupção quando a raiz deixa o solo.,Increases the eruption's radius and damage when the root leaves the ground.
RODA DE BRASAS,RODA DE BRASAS,EMBER WHEEL
"+1 brasa de morteiro por disparo, distribuída ao redor da mira.","+1 brasa de morteiro por disparo, distribuída ao redor da mira.","+1 mortar ember per shot, spread around the aim point."
FOGUEIRA MAIOR,FOGUEIRA MAIOR,GREATER BONFIRE
Amplia o círculo incendiado e o dano da explosão de cada brasa.,Amplia o círculo incendiado e o dano da explosão de cada brasa.,Expands the burning circle and the explosion damage of each ember.
CACHO DE MORANGOS,CACHO DE MORANGOS,STRAWBERRY CLUSTER
"+2 projéteis por rajada, preservando a formação simétrica.","+2 projéteis por rajada, preservando a formação simétrica.",+2 projectiles per burst while preserving the symmetrical formation.
SEMENTES SILVESTRES,SEMENTES SILVESTRES,WILD SEEDS
+1 semente criada em cada impacto e mais dano no projétil principal.,+1 semente criada em cada impacto e mais dano no projétil principal.,+1 seed created on each impact and more damage for the main projectile.
NEBLINA VIOLETA,NEBLINA VIOLETA,VIOLET MIST
"+2 partículas no cone de fevereiro, cobrindo melhor a área próxima.","+2 partículas no cone de fevereiro, cobrindo melhor a área próxima.","+2 particles in the February cone, providing better nearby coverage."
CUIDADO CONTÍNUO,CUIDADO CONTÍNUO,CONTINUOUS CARE
Os impactos desaceleram o inimigo por mais tempo e causam mais dano.,Os impactos desaceleram o inimigo por mais tempo e causam mais dano.,Impacts slow the enemy for longer and deal more damage.
JARDIM EM FLORAÇÃO,JARDIM EM FLORAÇÃO,BLOOMING GARDEN
+2 pétalas orbitais por nível antes do ataque conjunto.,+2 pétalas orbitais por nível antes do ataque conjunto.,+2 orbital petals per level before the combined attack.
DESABROCHAR CONJUNTO,DESABROCHAR CONJUNTO,SYNCHRONIZED BLOOM
As pétalas orbitam por menos tempo e avançam com mais dano.,As pétalas orbitam por menos tempo e avançam com mais dano.,Petals orbit for less time and launch with more damage.
NEVASCA,NEVASCA,BLIZZARD
"Ao romper após cinco camadas, o alvo libera uma onda de 250 px que aplica duas camadas de gelo aos inimigos próximos.","Ao romper após cinco camadas, o alvo libera uma onda de 250 px que aplica duas camadas de gelo aos inimigos próximos.","When it shatters after five stacks, the target releases a 250 px wave that applies two frost stacks to nearby enemies."
ABAIXO DE ZERO,ABAIXO DE ZERO,BELOW ZERO
ULTRARRARA: o congelamento total dura 5 segundos e irradia uma camada de gelo por segundo em 250 px.,ULTRARRARA: o congelamento total dura 5 segundos e irradia uma camada de gelo por segundo em 250 px.,ULTRA RARE: full freeze lasts 5 seconds and radiates one frost stack per second within 250 px.
O modelo clássico do Chromatic Void. Disponível gratuitamente para todos os pilotos.,O modelo clássico do Chromatic Void. Disponível gratuitamente para todos os pilotos.,The classic Chromatic Void ship. Available free to every pilot.
MODELO • PADRÃO,MODELO • PADRÃO,MODEL • DEFAULT
O visual original da nave permanece selecionado por padrão.,O visual original da nave permanece selecionado por padrão.,The ship's original appearance remains selected by default.
"Uma variação triangular de três pontas, compacta e próxima da silhueta clássica.","Uma variação triangular de três pontas, compacta e próxima da silhueta clássica.",A compact three-pointed triangular variant close to the classic silhouette.
MODELO • DELTA,MODELO • DELTA,MODEL • DELTA
"Inspirada nas naves triangulares da referência, simplificada para o traço geométrico do jogo.","Inspirada nas naves triangulares da referência, simplificada para o traço geométrico do jogo.",Inspired by the reference's triangular ships and simplified for the game's geometric style.
"Asas curtas ao redor de um núcleo hexagonal, mantendo direção e leitura imediatas.","Asas curtas ao redor de um núcleo hexagonal, mantendo direção e leitura imediatas.",Short wings around a hexagonal core preserve clear direction and instant readability.
MODELO • ORBITAL,MODELO • ORBITAL,MODEL • ORBITAL
Reinterpreta o modelo triangular com núcleo circular visto na referência.,Reinterpreta o modelo triangular com núcleo circular visto na referência.,Reinterprets the triangular model with a circular core seen in the reference.
"Uma nave alongada, simples e estreita, com o mesmo volume visual do modelo padrão.","Uma nave alongada, simples e estreita, com o mesmo volume visual do modelo padrão.","A long, simple, narrow ship with the same visual weight as the default model."
MODELO • DARDO,MODELO • DARDO,MODEL • DART
Derivada das pequenas naves em forma de seta da referência.,Derivada das pequenas naves em forma de seta da referência.,Derived from the small arrow-shaped ships in the reference.
Asas recuadas e nariz curto formam uma alternativa ágil sem mudar a jogabilidade.,Asas recuadas e nariz curto formam uma alternativa ágil sem mudar a jogabilidade.,Swept-back wings and a short nose create an agile alternative without changing gameplay.
MODELO • INTERCEPTOR,MODELO • INTERCEPTOR,MODEL • INTERCEPTOR
Combina as asas curvas e pontudas mais próximas da nave padrão.,Combina as asas curvas e pontudas mais próximas da nave padrão.,"Combines curved, pointed wings closest to the default ship."
"Chassi arredondado e estrelado, alegre e compacto, sem alterar a colisão ou os atributos.","Chassi arredondado e estrelado, alegre e compacto, sem alterar a colisão ou os atributos.","A cheerful, compact, rounded star chassis that does not change collision or attributes."
MODELO • ESTELAR,MODELO • ESTELAR,MODEL • STELLAR
Uma nave original inspirada em aventuras espaciais coloridas e formas simples.,Uma nave original inspirada em aventuras espaciais coloridas e formas simples.,An original ship inspired by colorful space adventures and simple shapes.
MODELO K,MODELO K,MODEL K
Uma estrela pilotável. A nave inteira acompanha a paleta escolhida.,Uma estrela pilotável. A nave inteira acompanha a paleta escolhida.,A pilotable star. The entire ship follows the selected palette.
MODELO • K,MODELO • K,MODEL • K
"O contorno da estrela enviada virou uma nave original, leve e legível.","O contorno da estrela enviada virou uma nave original, leve e legível.","The submitted star outline became an original, light, readable ship."
MODELO • SPECTRUM,MODELO • SPECTRUM,MODEL • SPECTRUM
Uma homenagem ao primeiro jogador à atingir o combo de 213x. Inclui rastro arco-íris exclusivo.,Uma homenagem ao primeiro jogador à atingir o combo de 213x. Inclui rastro arco-íris exclusivo.,A tribute to the first player to reach a 213x combo. Includes an exclusive rainbow trail.
MODELO • FSPEED,MODELO • FSPEED,MODEL • FSPEED
Uma homenagem ao primeiro jogadora zerar o jogo com a marca de 75 milhões de pontos. Inclui rastro de pneus exclusivo.,Uma homenagem ao primeiro jogadora zerar o jogo com a marca de 75 milhões de pontos. Inclui rastro de pneus exclusivo.,A tribute to the first player to complete the game with 75 million points. Includes an exclusive tire trail.
Mantém o propulsor luminoso original da nave.,Mantém o propulsor luminoso original da nave.,Keeps the ship's original glowing thruster.
RASTRO • PADRÃO,RASTRO • PADRÃO,TRAIL • DEFAULT
O rastro clássico permanece gratuito e pode ser restaurado a qualquer momento.,O rastro clássico permanece gratuito e pode ser restaurado a qualquer momento.,The classic trail remains free and can be restored at any time.
Deixa pequenas estrelas da mesma cor da nave enquanto o Modelo O acelera.,Deixa pequenas estrelas da mesma cor da nave enquanto o Modelo O acelera.,Leaves small stars matching the ship's color while Model O accelerates.
RASTRO • EXCLUSIVO,RASTRO • EXCLUSIVO,TRAIL • EXCLUSIVE
Este rastro acompanha gratuitamente o Modelo O e não pode ser usado por outros modelos.,Este rastro acompanha gratuitamente o Modelo O e não pode ser usado por outros modelos.,This trail comes free with Model O and cannot be used by other models.
"Sete faixas suaves formam um rastro arco-íris contínuo, sem pixelização.","Sete faixas suaves formam um rastro arco-íris contínuo, sem pixelização.",Seven smooth bands form a continuous rainbow trail without pixelation.
"Recompensa inseparável do Spectrum, inspirada em rastros de arco-íris, mas redesenhada no neon do jogo.","Recompensa inseparável do Spectrum, inspirada em rastros de arco-íris, mas redesenhada no neon do jogo.",An inseparable Spectrum reward inspired by rainbow trails and redesigned in the game's neon style.
Duas marcas intermitentes de pneu acompanham as curvas e a cor da nave.,Duas marcas intermitentes de pneu acompanham as curvas e a cor da nave.,Two intermittent tire marks follow the ship's turns and color.
"Rastro exclusivo do Fspeed, com marcas suaves de corrida em vez de partículas genéricas.","Rastro exclusivo do Fspeed, com marcas suaves de corrida em vez de partículas genéricas.",Fspeed's exclusive trail uses smooth racing marks instead of generic particles.
"Troca a paleta principal da nave sem alterar atributos. No Modelo O, colore a estrela e seu rastro.","Troca a paleta principal da nave sem alterar atributos. No Modelo O, colore a estrela e seu rastro.","Changes the ship's main palette without altering attributes. On Model O, it colors the star and its trail."
COR • PALETA,COR • PALETA,COLOR • PALETTE
MODO DESENVOLVEDOR • CATÁLOGO LIBERADO • + adiciona moeda de teste,MODO DESENVOLVEDOR • CATÁLOGO LIBERADO • + adiciona moeda de teste,DEVELOPER MODE • CATALOG UNLOCKED • + adds test currency
DEV: adicionar 1.000 cristais,DEV: adicionar 1.000 cristais,"DEV: add 1,000 crystals"
"LIGAÇÃO COM MONTHLY COLORS
%s
%s","LIGAÇÃO COM MONTHLY COLORS
%s
%s","MONTHLY COLORS CONNECTION
%s
%s"
BLOQUEADA POR CONQUISTA,BLOQUEADA POR CONQUISTA,LOCKED BY ACHIEVEMENT
Crítico: %d%% de chance • %d%% do dano.,Crítico: %d%% de chance • %d%% do dano.,Critical: %d%% chance • %d%% damage.
EXCLUSIVO DO MODELO,EXCLUSIVO DO MODELO,MODEL EXCLUSIVE
USAR PADRÃO,USAR PADRÃO,USE DEFAULT
BLOQUEADO • CONQUISTA SECRETA,BLOQUEADO • CONQUISTA SECRETA,LOCKED • SECRET ACHIEVEMENT
ESSA É A HABILIDADE PADRÃO,ESSA É A HABILIDADE PADRÃO,THIS IS THE DEFAULT ABILITY
HABILIDADE DESEQUIPADA • RETROCESSO RESTAURADO,HABILIDADE DESEQUIPADA • RETROCESSO RESTAURADO,ABILITY UNEQUIPPED • REWIND RESTORED
CRISTAIS INSUFICIENTES,CRISTAIS INSUFICIENTES,NOT ENOUGH CRYSTALS
%s DESBLOQUEADA,%s DESBLOQUEADA,%s UNLOCKED
EQUIPADA PELO MODO DESENVOLVEDOR,EQUIPADA PELO MODO DESENVOLVEDOR,EQUIPPED BY DEVELOPER MODE
ESSA PERSONALIZAÇÃO CHEGARÁ EM BREVE,ESSA PERSONALIZAÇÃO CHEGARÁ EM BREVE,THIS CUSTOMIZATION IS COMING SOON
%s DESEQUIPADO • EQUIPAMENTO PADRÃO RESTAURADO,%s DESEQUIPADO • EQUIPAMENTO PADRÃO RESTAURADO,%s UNEQUIPPED • DEFAULT EQUIPMENT RESTORED
%s DESBLOQUEADO,%s DESBLOQUEADO,%s UNLOCKED
EQUIPE O MODELO CORRESPONDENTE PARA USAR ESTE RASTRO,EQUIPE O MODELO CORRESPONDENTE PARA USAR ESTE RASTRO,EQUIP THE MATCHING MODEL TO USE THIS TRAIL
CONQUISTA SECRETA AINDA NÃO DESBLOQUEADA,CONQUISTA SECRETA AINDA NÃO DESBLOQUEADA,SECRET ACHIEVEMENT NOT YET UNLOCKED
VISUAL PADRÃO RESTAURADO,VISUAL PADRÃO RESTAURADO,DEFAULT APPEARANCE RESTORED
+1.000 CRISTAIS DE TESTE,+1.000 CRISTAIS DE TESTE,"+1,000 TEST CRYSTALS"
RITMO INTENSO,RITMO INTENSO,INTENSE RHYTHM
"+12% de ataque e +0,18 de dano dos rastros.","+12% de ataque e +0,18 de dano dos rastros.",+12% attack and +0.18 trail damage.
BLOCO SEM FIM,BLOCO SEM FIM,ENDLESS PARADE
+1 segundo de duração.,+1 segundo de duração.,+1 second duration.
PASSARELA NEON,PASSARELA NEON,NEON RUNWAY
+8 de raio para os rastros de dano.,+8 de raio para os rastros de dano.,+8 damage-trail radius.
IMPACTO CINÉTICO,IMPACTO CINÉTICO,KINETIC IMPACT
+2 de dano ao atravessar inimigos.,+2 de dano ao atravessar inimigos.,+2 damage when passing through enemies.
ROTA ESTENDIDA,ROTA ESTENDIDA,EXTENDED ROUTE
"+0,08 s de duração e +8% de velocidade.","+0,08 s de duração e +8% de velocidade.",+0.08 s duration and +8% speed.
VETOR PRONTO,VETOR PRONTO,VECTOR READY
Recarga 12% mais rápida.,Recarga 12% mais rápida.,12% faster cooldown.
GEMA RESTAURADORA,GEMA RESTAURADORA,RESTORATIVE GEM
+8 de cura no resultado restaurador.,+8 de cura no resultado restaurador.,+8 healing from the restorative outcome.
PINTINHO ARMADO,PINTINHO ARMADO,ARMED CHICK
+25% de dano do ajudante.,+25% de dano do ajudante.,+25% helper damage.
CASCA RESISTENTE,CASCA RESISTENTE,HARD SHELL
"+1,5 segundo de duração do ajudante.","+1,5 segundo de duração do ajudante.",+1.5 seconds of helper duration.
VINHAS VORAZES,VINHAS VORAZES,VORACIOUS VINES
Cria vinhas 18% mais rápido quando há alvos.,Cria vinhas 18% mais rápido quando há alvos.,Creates vines 18% faster when targets are present.
SEMENTES EXPLOSIVAS,SEMENTES EXPLOSIVAS,EXPLOSIVE SEEDS
Flores destruídas espalham seis pétalas perfurantes.,Flores destruídas espalham seis pétalas perfurantes.,Destroyed flowers scatter six piercing petals.
PRIMAVERA LONGA,PRIMAVERA LONGA,LONG SPRING
"+0,75 segundo infectando inimigos próximos.","+0,75 segundo infectando inimigos próximos.",+0.75 seconds infecting nearby enemies.
JARDIM PROFUNDO,JARDIM PROFUNDO,DEEP GARDEN
"+1 raiz simultânea, até o limite de cinco.","+1 raiz simultânea, até o limite de cinco.","+1 simultaneous root, up to a maximum of five."
FOLHAS CORTANTES,FOLHAS CORTANTES,CUTTING LEAVES
"+1,25 de dano por folha.","+1,25 de dano por folha.",+1.25 damage per leaf.
FRENTE VERDE,FRENTE VERDE,GREEN FRONT
+1 segundo de chuva diagonal.,+1 segundo de chuva diagonal.,+1 second of diagonal rain.
VENTO PENETRANTE,VENTO PENETRANTE,PIERCING WIND
Cada folha atravessa mais um inimigo.,Cada folha atravessa mais um inimigo.,Each leaf pierces one more enemy.
ACOLHIMENTO,ACOLHIMENTO,WARM EMBRACE
+8 de cura imediata.,+8 de cura imediata.,+8 immediate healing.
CUIDADO DURADOURO,CUIDADO DURADOURO,LASTING CARE
+1 segundo de resistência.,+1 segundo de resistência.,+1 second of resistance.
PROTEÇÃO MATERNA,PROTEÇÃO MATERNA,MATERNAL PROTECTION
Recebe mais 8% de redução de dano.,Recebe mais 8% de redução de dano.,Gain 8% more damage reduction.
BRASA VIVA,BRASA VIVA,LIVING EMBER
+1 de dano por segundo.,+1 de dano por segundo.,+1 damage per second.
FOGO ALIMENTADO,FOGO ALIMENTADO,FED FLAME
"+1,5 segundo de duração.","+1,5 segundo de duração.",+1.5 seconds duration.
RODA DA FOGUEIRA,RODA DA FOGUEIRA,BONFIRE WHEEL
+18 de raio da zona ardente.,+18 de raio da zona ardente.,+18 burning-zone radius.
PERCEPÇÃO EXPANDIDA,PERCEPÇÃO EXPANDIDA,EXPANDED PERCEPTION
"+0,6 segundo de duração real.","+0,6 segundo de duração real.",+0.6 seconds of real-time duration.
MUNDO EM DETALHES,MUNDO EM DETALHES,WORLD IN DETAIL
Desacelera o mundo mais 12%.,Desacelera o mundo mais 12%.,Slows the world by an additional 12%.
CLAREZA RENOVADA,CLAREZA RENOVADA,RENEWED CLARITY
PULSO DE POTÊNCIA,PULSO DE POTÊNCIA,POWER PULSE
+2 de dano da onda.,+2 de dano da onda.,+2 wave damage.
ANEL EXPANSIVO,ANEL EXPANSIVO,EXPANDING RING
+30 de raio da onda.,+30 de raio da onda.,+30 wave radius.
RESSONÂNCIA,RESSONÂNCIA,RESONANCE
"+0,2 s de atordoamento e +100 de empurrão.","+0,2 s de atordoamento e +100 de empurrão.",+0.2 s stun and +100 knockback.
MEMÓRIA AMPLIADA,MEMÓRIA AMPLIADA,EXPANDED MEMORY
+30 estados registrados para voltar mais longe.,+30 estados registrados para voltar mais longe.,+30 recorded states to rewind farther.
SEGUNDA CHANCE,SEGUNDA CHANCE,SECOND CHANCE
+8 de cura ao concluir o retorno.,+8 de cura ao concluir o retorno.,+8 healing when the rewind completes.
ATALHO TEMPORAL,ATALHO TEMPORAL,TEMPORAL SHORTCUT
BARREIRA REFORÇADA,BARREIRA REFORÇADA,REINFORCED BARRIER
+15 de resistência do escudo.,+15 de resistência do escudo.,+15 shield strength.
PREVENÇÃO CONTÍNUA,PREVENÇÃO CONTÍNUA,CONTINUOUS PREVENTION
"+1,2 segundo de duração.","+1,2 segundo de duração.",+1.2 seconds duration.
RESPOSTA PREVENTIVA,RESPOSTA PREVENTIVA,PREVENTIVE RESPONSE
DRENAGEM PROFUNDA,DRENAGEM PROFUNDA,DEEP DRAIN
+6 de dano roubado do alvo.,+6 de dano roubado do alvo.,+6 damage drained from the target.
VEIA CROMÁTICA,VEIA CROMÁTICA,CHROMATIC VEIN
+55 de alcance para escolher o inimigo.,+55 de alcance para escolher o inimigo.,+55 range when selecting an enemy.
CICLO VITAL,CICLO VITAL,LIFE CYCLE
+12% do dano convertido em cura.,+12% do dano convertido em cura.,+12% of damage converted into healing.
RESPIRAÇÃO SERENA,RESPIRAÇÃO SERENA,SERENE BREATHING
"+1,5 de regeneração por segundo.","+1,5 de regeneração por segundo.",+1.5 regeneration per second.
PAUSA CONSCIENTE,PAUSA CONSCIENTE,MINDFUL PAUSE
MENTE PROTEGIDA,MENTE PROTEGIDA,PROTECTED MIND
Recebe mais 7% de redução de dano.,Recebe mais 7% de redução de dano.,Gain 7% more damage reduction.
INICIAR PARTIDA,INICIAR PARTIDA,START MATCH
JOGAR SOLO,JOGAR SOLO,PLAY SOLO
MULTIPLAYER,MULTIPLAYER,MULTIPLAYER
VOLTAR,VOLTAR,BACK
Jogue com outro piloto na mesma rede Wi-Fi ou informe o IP manualmente.,Jogue com outro piloto na mesma rede Wi-Fi ou informe o IP manualmente.,Play with another pilot on the same Wi-Fi network or enter the IP manually.
CRIAR LOBBY,CRIAR LOBBY,CREATE LOBBY
ENTRAR POR IP,ENTRAR POR IP,JOIN BY IP
ENTRAR,ENTRAR,JOIN
ENTRAR NO LOBBY,ENTRAR NO LOBBY,JOIN LOBBY
CONECTAR,CONECTAR,CONNECT
LOBBY,LOBBY,LOBBY
SAIR DO LOBBY,SAIR DO LOBBY,LEAVE LOBBY
RENASCIMENTO EM %.1f s  •  %d PILOTO(S) AINDA EM COMBATE,RENASCIMENTO EM %.1f s  •  %d PILOTO(S) AINDA EM COMBATE,REVIVAL IN %.1f s  •  %d PILOT(S) STILL FIGHTING
ESCOLHA O PRÓXIMO SETOR,ESCOLHA O PRÓXIMO SETOR,CHOOSE THE NEXT SECTOR
"O primeiro setor foi concluído. A próxima escolha define inimigos, paleta e boss.","O primeiro setor foi concluído. A próxima escolha define inimigos, paleta e boss.","The first sector is complete. Your next choice defines its enemies, palette, and boss."
CICLO DE SETORES CONCLUÍDO,CICLO DE SETORES CONCLUÍDO,SECTOR CYCLE COMPLETE
Todos os cinco bosses foram derrotados sem repetir setores.,Todos os cinco bosses foram derrotados sem repetir setores.,All five bosses were defeated without repeating sectors.
PONTUAÇÃO %s,PONTUAÇÃO %s,SCORE %s
A tentativa foi concluída.,A tentativa foi concluída.,The run is complete.
SEM TECLA,SEM TECLA,UNBOUND
MUDO,MUDO,MUTED
SEM LIMITE,SEM LIMITE,UNLIMITED
AÇÃO,AÇÃO,ACTION
SLOT 1,SLOT 1,SLOT 1
SLOT 2,SLOT 2,SLOT 2
SLOT 3,SLOT 3,SLOT 3
BOTÃO %d,BOTÃO %d,BUTTON %d
EIXO %d,EIXO %d,AXIS %d
